Source,Target,Weight
8195.0,8196.0,1.0
8195.0,21080.0,1.0
8196.0,20391.0,1.0
4102.0,899.0,1.0
4102.0,5381.0,1.0
4102.0,4493.0,1.0
7.0,8.0,1.0
7.0,12988.0,1.0
7.0,7669.0,1.0
8.0,7737.0,1.0
8.0,10352.0,1.0
8201.0,10905.0,1.0
2072.0,2073.0,1.0
2072.0,9879.0,1.0
2072.0,6842.0,1.0
2072.0,14142.0,1.0
25.0,8261.0,1.0
25.0,9529.0,1.0
25.0,3181.0,1.0
2073.0,3251.0,1.0
4131.0,6059.0,1.0
8228.0,7367.0,1.0
8228.0,9510.0,1.0
16421.0,6553.0,1.0
16421.0,13676.0,1.0
16421.0,16361.0,1.0
8230.0,6140.0,1.0
8230.0,20842.0,1.0
6191.0,11485.0,1.0
4148.0,4149.0,1.0
4149.0,1187.0,1.0
4149.0,5400.0,1.0
4149.0,5993.0,1.0
6198.0,6199.0,1.0
6198.0,10960.0,1.0
6198.0,7368.0,1.0
6199.0,3520.0,1.0
6199.0,4467.0,1.0
6199.0,9409.0,1.0
12342.0,7370.0,1.0
14390.0,2463.0,1.0
14390.0,3007.0,1.0
16442.0,3682.0,1.0
16442.0,6553.0,1.0
16442.0,16361.0,1.0
16443.0,10175.0,1.0
16443.0,12909.0,1.0
16443.0,13129.0,1.0
10302.0,13580.0,1.0
8261.0,16717.0,1.0
10314.0,16801.0,1.0
8267.0,8633.0,1.0
8267.0,9225.0,1.0
8267.0,10740.0,1.0
16465.0,7766.0,1.0
16465.0,19435.0,1.0
8274.0,3682.0,1.0
8274.0,8275.0,1.0
8275.0,9467.0,1.0
10330.0,2807.0,1.0
10330.0,7566.0,1.0
6237.0,873.0,1.0
6237.0,6799.0,1.0
16480.0,5281.0,1.0
16480.0,21089.0,1.0
2148.0,2149.0,1.0
2148.0,8474.0,1.0
2148.0,7854.0,1.0
2148.0,7250.0,1.0
2149.0,872.0,1.0
2149.0,6799.0,1.0
2149.0,3985.0,1.0
4206.0,3095.0,1.0
4206.0,5897.0,1.0
12398.0,2432.0,1.0
12398.0,4216.0,1.0
10352.0,7669.0,1.0
10352.0,10353.0,1.0
10353.0,8459.0,1.0
10353.0,10019.0,1.0
16496.0,4565.0,1.0
16496.0,7269.0,1.0
16496.0,7965.0,1.0
16495.0,10185.0,1.0
16495.0,13165.0,1.0
4212.0,8832.0,1.0
113.0,114.0,1.0
113.0,8569.0,1.0
113.0,2935.0,1.0
113.0,2349.0,1.0
20598.0,2333.0,1.0
8312.0,9524.0,1.0
8312.0,11939.0,1.0
4216.0,2333.0,1.0
4216.0,12094.0,1.0
4216.0,16953.0,1.0
10363.0,7738.0,1.0
10363.0,10048.0,1.0
12415.0,8569.0,1.0
12415.0,10169.0,1.0
12415.0,14010.0,1.0
