Source,Target,Weight
1543.0,407.0,1.0
1543.0,16861.0,1.0
14344.0,2793.0,1.0
14344.0,8282.0,1.0
7695.0,4180.0,1.0
7695.0,5137.0,1.0
7695.0,7696.0,1.0
7696.0,2884.0,1.0
7696.0,11428.0,1.0
5137.0,2884.0,1.0
5137.0,5136.0,1.0
5137.0,8236.0,1.0
5136.0,10792.0,1.0
5136.0,6086.0,1.0
2074.0,406.0,1.0
2074.0,407.0,1.0
2074.0,9647.0,1.0
10784.0,2344.0,1.0
10784.0,6509.0,1.0
10784.0,9822.0,1.0
10784.0,12937.0,1.0
10792.0,6086.0,1.0
10792.0,8236.0,1.0
7209.0,9390.0,1.0
5690.0,616.0,1.0
5690.0,3518.0,1.0
5690.0,5407.0,1.0
11840.0,220.0,1.0
11840.0,9384.0,1.0
11840.0,14723.0,1.0
19013.0,406.0,1.0
19013.0,2336.0,1.0
19013.0,11428.0,1.0
19013.0,16861.0,1.0
4180.0,4835.0,1.0
4693.0,879.0,1.0
4693.0,12937.0,1.0
4693.0,6509.0,1.0
16473.0,12052.0,1.0
16473.0,12472.0,1.0
16473.0,13656.0,1.0
8282.0,6593.0,1.0
8282.0,13428.0,1.0
9822.0,2345.0,1.0
9822.0,6510.0,1.0
616.0,12538.0,1.0
2668.0,499.0,1.0
2668.0,13656.0,1.0
2668.0,10441.0,1.0
1650.0,1651.0,1.0
1650.0,3276.0,1.0
1650.0,7923.0,1.0
1651.0,3277.0,1.0
1651.0,7911.0,1.0
13428.0,8054.0,1.0
13428.0,13295.0,1.0
3706.0,2344.0,1.0
3706.0,3707.0,1.0
3707.0,2345.0,1.0
12928.0,220.0,1.0
12928.0,6509.0,1.0
12928.0,14723.0,1.0
16516.0,3508.0,1.0
16516.0,11726.0,1.0
16516.0,15652.0,1.0
12937.0,7558.0,1.0
12937.0,13215.0,1.0
14994.0,3277.0,1.0
12436.0,3508.0,1.0
11428.0,2885.0,1.0
9383.0,9384.0,1.0
9383.0,14723.0,1.0
6316.0,6317.0,1.0
6316.0,7557.0,1.0
6316.0,13215.0,1.0
6316.0,12538.0,1.0
6317.0,879.0,1.0
6317.0,12635.0,1.0
6317.0,10991.0,1.0
9390.0,5407.0,1.0
9390.0,10537.0,1.0
2737.0,10441.0,1.0
2737.0,12472.0,1.0
12472.0,11726.0,1.0
5309.0,11726.0,1.0
3265.0,2469.0,1.0
3265.0,3518.0,1.0
3265.0,16716.0,1.0
10441.0,13656.0,1.0
3276.0,3277.0,1.0
7911.0,3969.0,1.0
7911.0,7923.0,1.0
2793.0,2794.0,1.0
2793.0,8054.0,1.0
2793.0,6085.0,1.0
2794.0,6086.0,1.0
10991.0,12538.0,1.0
7923.0,13115.0,1.0
264.0,3890.0,1.0
264.0,1883.0,1.0
264.0,813.0,1.0
11534.0,14249.0,1.0
12052.0,8681.0,1.0
5407.0,7557.0,1.0
15652.0,11579.0,1.0
15652.0,11580.0,1.0
2344.0,2345.0,1.0
2344.0,14191.0,1.0
10537.0,7557.0,1.0
10537.0,7558.0,1.0
813.0,1883.0,1.0
3890.0,1882.0,1.0
11579.0,11580.0,1.0
11579.0,12686.0,1.0
4924.0,2038.0,1.0
11580.0,11726.0,1.0
13115.0,8054.0,1.0
2884.0,2885.0,1.0
2885.0,11657.0,1.0
16716.0,2037.0,1.0
16716.0,9698.0,1.0
16718.0,3508.0,1.0
16718.0,9648.0,1.0
1882.0,498.0,1.0
1882.0,1883.0,1.0
12635.0,880.0,1.0
861.0,2469.0,1.0
861.0,3518.0,1.0
861.0,11697.0,1.0
6509.0,6510.0,1.0
6510.0,14723.0,1.0
879.0,880.0,1.0
879.0,13215.0,1.0
8054.0,3969.0,1.0
3969.0,3970.0,1.0
3970.0,12170.0,1.0
3970.0,13295.0,1.0
7557.0,7558.0,1.0
11657.0,13788.0,1.0
11657.0,14249.0,1.0
406.0,407.0,1.0
407.0,6584.0,1.0
13724.0,6593.0,1.0
2469.0,8666.0,1.0
2469.0,9698.0,1.0
9647.0,9648.0,1.0
9648.0,6584.0,1.0
11697.0,8666.0,1.0
6593.0,6594.0,1.0
6085.0,6086.0,1.0
16861.0,2037.0,1.0
9698.0,2038.0,1.0
498.0,499.0,1.0
2037.0,2038.0,1.0
