Source,Target,Weight
0,12898,1.0
0,10356,1.0
0,15091,1.0
0,17930,1.0
1,7591,1.0
1,6558,1.0
1,18355,1.0
2,14405,1.0
2,30339,1.0
2,35930,1.0
3,19902,1.0
3,1603,1.0
3,10917,1.0
4,28467,1.0
4,36001,1.0
4,12763,1.0
4,3706,1.0
5,6,1.0
5,14514,1.0
5,7002,1.0
5,6881,1.0
7,3537,1.0
7,15664,1.0
7,21780,1.0
8,18270,1.0
8,5180,1.0
8,33618,1.0
9,5781,1.0
9,964,1.0
9,16116,1.0
9,23195,1.0
10,6415,1.0
10,13605,1.0
10,11546,1.0
11,17,1.0
11,14291,1.0
11,14427,1.0
12,11677,1.0
13,8994,1.0
13,12589,1.0
13,8823,1.0
14,8818,1.0
14,9358,1.0
14,2439,1.0
15,19561,1.0
16,20455,1.0
16,539,1.0
16,2303,1.0
17,11092,1.0
17,2548,1.0
18,19824,1.0
19,6469,1.0
20,2008,1.0
20,3470,1.0
20,10431,1.0
21,6475,1.0
21,5327,1.0
21,770,1.0
22,23,1.0
23,759,1.0
23,3720,1.0
24,25,1.0
24,34630,1.0
24,36447,1.0
25,7806,1.0
25,37446,1.0
25,17255,1.0
26,6331,1.0
27,545,1.0
27,1810,1.0
27,948,1.0
28,5514,1.0
28,9191,1.0
28,13658,1.0
28,8128,1.0
29,13138,1.0
30,31,1.0
30,848,1.0
30,11027,1.0
32,4643,1.0
32,26698,1.0
32,27989,1.0
33,9321,1.0
33,6561,1.0
33,4181,1.0
33,13651,1.0
34,35,1.0
35,13555,1.0
35,11879,1.0
36,1581,1.0
36,15014,1.0
36,8427,1.0
36,21634,1.0
37,3001,1.0
38,17055,1.0
38,12796,1.0
38,27178,1.0
39,16658,1.0
39,9252,1.0
39,10059,1.0
39,25537,1.0
40,15528,1.0
40,16454,1.0
40,25711,1.0
41,444,1.0
41,1778,1.0
41,36074,1.0
42,4019,1.0
43,19017,1.0
44,9927,1.0
44,2253,1.0
44,2540,1.0
44,10510,1.0
45,10072,1.0
46,30799,1.0
47,15437,1.0
47,17137,1.0
47,17790,1.0
47,37334,1.0
48,3071,1.0
48,4283,1.0
48,3258,1.0
49,1541,1.0
49,3150,1.0
49,7763,1.0
50,7838,1.0
51,4003,1.0
51,13126,1.0
51,16093,1.0
52,12065,1.0
53,6210,1.0
53,24377,1.0
53,9818,1.0
54,4895,1.0
54,11139,1.0
54,22286,1.0
55,2538,1.0
56,57,1.0
56,6773,1.0
56,16473,1.0
57,11465,1.0
57,29790,1.0
58,24541,1.0
59,8164,1.0
59,28207,1.0
59,4303,1.0
60,9514,1.0
61,8892,1.0
62,63,1.0
62,7512,1.0
62,37225,1.0
63,552,1.0
63,5019,1.0
63,6055,1.0
63,30963,1.0
64,21157,1.0
64,17347,1.0
64,14108,1.0
64,18558,1.0
65,25747,1.0
66,8717,1.0
66,15963,1.0
66,13034,1.0
67,68,1.0
68,69,1.0
68,14833,1.0
68,25476,1.0
68,23668,1.0
68,20732,1.0
69,20735,1.0
69,32811,1.0
69,20734,1.0
69,23924,1.0
70,2483,1.0
70,29029,1.0
70,3467,1.0
71,650,1.0
71,11805,1.0
71,26327,1.0
72,3724,1.0
73,3362,1.0
73,3671,1.0
73,3991,1.0
74,16506,1.0
74,6339,1.0
74,479,1.0
75,1269,1.0
75,7350,1.0
75,33212,1.0
75,26132,1.0
76,12536,1.0
76,4255,1.0
76,31362,1.0
77,78,1.0
77,1862,1.0
77,1751,1.0
78,347,1.0
78,13262,1.0
79,13849,1.0
79,17985,1.0
79,31714,1.0
80,81,1.0
80,7431,1.0
80,19154,1.0
81,1999,1.0
81,9121,1.0
82,83,1.0
83,1955,1.0
83,34628,1.0
84,1255,1.0
85,2831,1.0
85,16642,1.0
85,10195,1.0
86,1515,1.0
86,12194,1.0
86,18114,1.0
87,10143,1.0
87,3852,1.0
87,2700,1.0
88,3494,1.0
89,7578,1.0
