Source,Target,Attributes
0.0,12898.0,{'Weight': 1.0}
0.0,10356.0,{'Weight': 1.0}
0.0,15091.0,{'Weight': 1.0}
0.0,17930.0,{'Weight': 1.0}
32768.0,33449.0,{'Weight': 1.0}
32770.0,4335.0,{'Weight': 1.0}
32770.0,28655.0,{'Weight': 1.0}
32770.0,36405.0,{'Weight': 1.0}
3.0,19902.0,{'Weight': 1.0}
3.0,1603.0,{'Weight': 1.0}
3.0,10917.0,{'Weight': 1.0}
1.0,7591.0,{'Weight': 1.0}
1.0,6558.0,{'Weight': 1.0}
1.0,18355.0,{'Weight': 1.0}
5.0,6.0,{'Weight': 1.0}
5.0,14514.0,{'Weight': 1.0}
5.0,7002.0,{'Weight': 1.0}
5.0,6881.0,{'Weight': 1.0}
7.0,3537.0,{'Weight': 1.0}
7.0,15664.0,{'Weight': 1.0}
7.0,21780.0,{'Weight': 1.0}
2.0,14405.0,{'Weight': 1.0}
2.0,30339.0,{'Weight': 1.0}
2.0,35930.0,{'Weight': 1.0}
9.0,5781.0,{'Weight': 1.0}
9.0,964.0,{'Weight': 1.0}
9.0,16116.0,{'Weight': 1.0}
9.0,23195.0,{'Weight': 1.0}
32775.0,20143.0,{'Weight': 1.0}
11.0,17.0,{'Weight': 1.0}
11.0,14291.0,{'Weight': 1.0}
11.0,14427.0,{'Weight': 1.0}
12.0,11677.0,{'Weight': 1.0}
13.0,8994.0,{'Weight': 1.0}
13.0,12589.0,{'Weight': 1.0}
13.0,8823.0,{'Weight': 1.0}
32776.0,2632.0,{'Weight': 1.0}
16.0,20455.0,{'Weight': 1.0}
16.0,539.0,{'Weight': 1.0}
16.0,2303.0,{'Weight': 1.0}
17.0,11092.0,{'Weight': 1.0}
17.0,2548.0,{'Weight': 1.0}
19.0,6469.0,{'Weight': 1.0}
32788.0,4964.0,{'Weight': 1.0}
21.0,6475.0,{'Weight': 1.0}
21.0,5327.0,{'Weight': 1.0}
21.0,770.0,{'Weight': 1.0}
32793.0,12504.0,{'Weight': 1.0}
32793.0,30920.0,{'Weight': 1.0}
32793.0,36160.0,{'Weight': 1.0}
26.0,6331.0,{'Weight': 1.0}
32795.0,10960.0,{'Weight': 1.0}
32795.0,37315.0,{'Weight': 1.0}
32795.0,36944.0,{'Weight': 1.0}
32796.0,29859.0,{'Weight': 1.0}
32798.0,5418.0,{'Weight': 1.0}
32799.0,12217.0,{'Weight': 1.0}
33.0,9321.0,{'Weight': 1.0}
33.0,6561.0,{'Weight': 1.0}
33.0,4181.0,{'Weight': 1.0}
33.0,13651.0,{'Weight': 1.0}
34.0,35.0,{'Weight': 1.0}
35.0,13555.0,{'Weight': 1.0}
35.0,11879.0,{'Weight': 1.0}
32804.0,24675.0,{'Weight': 1.0}
36.0,1581.0,{'Weight': 1.0}
36.0,15014.0,{'Weight': 1.0}
36.0,8427.0,{'Weight': 1.0}
36.0,21634.0,{'Weight': 1.0}
32806.0,8388.0,{'Weight': 1.0}
39.0,16658.0,{'Weight': 1.0}
39.0,9252.0,{'Weight': 1.0}
39.0,10059.0,{'Weight': 1.0}
39.0,25537.0,{'Weight': 1.0}
38.0,17055.0,{'Weight': 1.0}
38.0,12796.0,{'Weight': 1.0}
38.0,27178.0,{'Weight': 1.0}
32802.0,14998.0,{'Weight': 1.0}
46.0,30799.0,{'Weight': 1.0}
32815.0,10687.0,{'Weight': 1.0}
32816.0,14646.0,{'Weight': 1.0}
49.0,1541.0,{'Weight': 1.0}
49.0,3150.0,{'Weight': 1.0}
49.0,7763.0,{'Weight': 1.0}
32818.0,2361.0,{'Weight': 1.0}
51.0,4003.0,{'Weight': 1.0}
51.0,13126.0,{'Weight': 1.0}
