Node ID,Attributes
0.0,"{'Longitude': -122.384863730144, 'Latitude': 47.6887435976678, 'Degree Centrality': 4.0, 'Betweenness Centrality': 546544.0}"
32768.0,"{'Longitude': -122.38533122604632, 'Latitude': 47.6827227082573, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
32770.0,"{'Longitude': -122.37897786217351, 'Latitude': 47.66972763173605, 'Degree Centrality': 3.0, 'Betweenness Centrality': 128694.0}"
3.0,"{'Longitude': -122.37372279893002, 'Latitude': 47.66934326940051, 'Degree Centrality': 3.0, 'Betweenness Centrality': 451180.8848852925}"
1.0,"{'Longitude': -122.304711275917, 'Latitude': 47.6183597367883, 'Degree Centrality': 3.0, 'Betweenness Centrality': 64354.0}"
5.0,"{'Longitude': -122.387721216103, 'Latitude': 47.6694057169524, 'Degree Centrality': 4.0, 'Betweenness Centrality': 480106.9333333322}"
6.0,"{'Longitude': -122.387717752017, 'Latitude': 47.6690919462301, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
7.0,"{'Longitude': -122.32820688836098, 'Latitude': 47.6850435854652, 'Degree Centrality': 3.0, 'Betweenness Centrality': 64354.0}"
2.0,"{'Longitude': -122.32041229422698, 'Latitude': 47.7039872006608, 'Degree Centrality': 3.0, 'Betweenness Centrality': 257326.0}"
9.0,"{'Longitude': -122.31877677057, 'Latitude': 47.7666683928356, 'Degree Centrality': 4.0, 'Betweenness Centrality': 2722368.0}"
32775.0,"{'Longitude': -122.317999975559, 'Latitude': 47.613645140195, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
11.0,"{'Longitude': -122.320139069656, 'Latitude': 47.6318118305218, 'Degree Centrality': 3.0, 'Betweenness Centrality': 128694.0}"
12.0,"{'Longitude': -122.309073099935, 'Latitude': 47.6065988862892, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
13.0,"{'Longitude': -122.37402487867298, 'Latitude': 47.69070840989641, 'Degree Centrality': 3.0, 'Betweenness Centrality': 7820022.829004589}"
32776.0,"{'Longitude': -122.267140517751, 'Latitude': 47.5382325796927, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
16.0,"{'Longitude': -122.297772577427, 'Latitude': 47.624328093141706, 'Degree Centrality': 3.0, 'Betweenness Centrality': 15317803.666666662}"
