source,target,distance_ft,edge_type
P_0,T_6130,126.86579589037177,power_to_transport
P_32768,T_12000,173.70359439175985,power_to_transport
P_32770,T_330,102.58238025848264,power_to_transport
P_3,T_12600,48.13422925719659,power_to_transport
P_1,T_9935,55.5347245271651,power_to_transport
P_5,T_2920,36.11310796227392,power_to_transport
P_6,T_2920,138.46957250390582,power_to_transport
P_7,T_2794,28.46815030191198,power_to_transport
P_2,T_6348,24.4081491115158,power_to_transport
P_9,T_454,30.799793397538192,power_to_transport
P_32775,T_12546,170.3491987064268,power_to_transport
P_11,T_13849,173.44586540165918,power_to_transport
P_12,T_13759,157.02523799496873,power_to_transport
P_13,T_7835,37.690096585166906,power_to_transport
P_32776,T_14782,36.47931436811133,power_to_transport
P_16,T_1995,24.399025755236373,power_to_transport
P_17,T_9949,26.71814159330063,power_to_transport
P_19,T_7604,146.41541643053944,power_to_transport
P_32788,T_3021,295.6829241823955,power_to_transport
P_21,T_6983,19.774932510705572,power_to_transport
P_32793,T_17338,145.13150172693227,power_to_transport
P_26,T_17439,175.961325594668,power_to_transport
P_32795,T_5682,22.07927777077649,power_to_transport
P_32796,T_9495,46.60815629392247,power_to_transport
P_32798,T_9632,315.0198552539681,power_to_transport
P_32799,T_17716,114.91365000863108,power_to_transport
P_33,T_9999,25.786247962618916,power_to_transport
P_34,T_656,27.211864492752404,power_to_transport
P_35,T_656,8.677232413012554,power_to_transport
P_32804,T_7816,221.8065278458144,power_to_transport
P_36,T_2841,34.932568607619245,power_to_transport
P_32806,T_6676,271.5572663669576,power_to_transport
P_39,T_8312,29.04640842522784,power_to_transport
P_38,T_4315,31.966093732459512,power_to_transport
P_32802,T_395,70.28020428634746,power_to_transport
P_46,T_8809,121.21113087779752,power_to_transport
P_32815,T_8440,167.20505724468364,power_to_transport
P_32816,T_5714,23.586935063835877,power_to_transport
P_49,T_13853,42.587061208156285,power_to_transport
P_32818,T_16321,44.78944558668083,power_to_transport
P_51,T_6583,27.18756829085666,power_to_transport
P_52,T_7545,230.6160324666094,power_to_transport
P_53,T_13053,30.642889496478922,power_to_transport
P_32821,T_20790,79.35307837425614,power_to_transport
P_55,T_18311,145.5119800599787,power_to_transport
P_56,T_12705,26.865884762677616,power_to_transport
P_57,T_12705,45.104760657163496,power_to_transport
P_54,T_2828,40.76256126240759,power_to_transport
P_32824,T_16529,103.58974341331873,power_to_transport
P_60,T_9673,127.18772513960194,power_to_transport
P_32825,T_10889,87.17426020796906,power_to_transport
P_58,T_8920,156.98335804488852,power_to_transport
P_32831,T_7393,133.38215047146522,power_to_transport
P_61,T_18544,266.7461679373316,power_to_transport
P_65,T_8526,93.46013568995546,power_to_transport
P_66,T_12038,21.45811148448216,power_to_transport
P_32833,T_15268,226.26062895886054,power_to_transport
P_32829,T_7198,253.2397949132333,power_to_transport
P_32837,T_13270,30.850142821783233,power_to_transport
P_70,T_12174,25.724954082065555,power_to_transport
P_32838,T_9108,91.43857424576719,power_to_transport
P_72,T_26,20.56917314347739,power_to_transport
P_32841,T_5385,21.791954558150426,power_to_transport
P_74,T_4398,20.79454733011035,power_to_transport
P_71,T_11795,21.824513055729074,power_to_transport
P_32845,T_14811,160.0685291828529,power_to_transport
P_32846,T_4961,225.61742407331195,power_to_transport
P_78,T_3735,62.346104278563764,power_to_transport
P_77,T_3735,57.71044203691743,power_to_transport
P_80,T_16089,143.230020782364,power_to_transport
P_32850,T_6813,70.87227859474987,power_to_transport
P_32851,T_136,89.83050514841055,power_to_transport
P_81,T_16089,249.65039861293045,power_to_transport
P_85,T_7076,31.714363581521166,power_to_transport
P_86,T_20358,131.8295666683673,power_to_transport
P_87,T_852,20.901013415274093,power_to_transport
P_32855,T_14650,196.86369937906667,power_to_transport
P_88,T_4524,41.63555993398298,power_to_transport
P_90,T_1810,29.219698117221572,power_to_transport
P_91,T_8157,132.48797346335544,power_to_transport
P_92,T_13356,341.6100849441345,power_to_transport
P_32861,T_15832,51.244969126477045,power_to_transport
P_32856,T_8258,178.69166909906164,power_to_transport
P_95,T_11612,159.59820042729953,power_to_transport
P_32863,T_6067,48.182844265911164,power_to_transport
P_96,T_6820,157.6630360200275,power_to_transport
P_98,T_13944,72.33235171222312,power_to_transport
P_99,T_19394,70.16166678179322,power_to_transport
P_101,T_14235,125.8244035435374,power_to_transport
P_32870,T_3550,143.75636634005212,power_to_transport
P_103,T_8639,276.6623990567324,power_to_transport
P_104,T_12818,87.32943557418729,power_to_transport
P_32869,T_8199,155.22565665051536,power_to_transport
P_105,T_854,28.445300583910747,power_to_transport
P_107,T_16079,136.90800214745173,power_to_transport
P_108,T_2663,49.171187610383946,power_to_transport
P_106,T_516,13.220803148408919,power_to_transport
P_32879,T_5047,214.39415866422092,power_to_transport
P_32880,T_12854,32.21979654529495,power_to_transport
P_112,T_11114,23.061596684940397,power_to_transport
P_114,T_14514,102.13646512135536,power_to_transport
P_115,T_11934,145.0489968947475,power_to_transport
P_116,T_11934,34.799069535109034,power_to_transport
P_32884,T_3026,235.2816301608044,power_to_transport
P_118,T_7909,27.701161126194,power_to_transport
P_113,T_4055,147.36049980217976,power_to_transport
P_32891,T_13984,33.91832672713653,power_to_transport
P_32892,T_1384,46.236944033045916,power_to_transport
P_32893,T_4384,13.250200994777115,power_to_transport
P_126,T_4535,152.06175521472068,power_to_transport
P_125,T_7504,286.04364935364595,power_to_transport
P_130,T_17384,42.39530718093909,power_to_transport
P_32902,T_4107,84.32025598752627,power_to_transport
P_134,T_12943,20.007492307068617,power_to_transport
P_32903,T_20769,68.85404900548446,power_to_transport
P_138,T_3166,14.823363714590862,power_to_transport
P_141,T_10396,48.89337052531932,power_to_transport
P_142,T_3281,29.91553372123809,power_to_transport
P_32909,T_10368,133.77555937474918,power_to_transport
P_144,T_15540,103.38925517595797,power_to_transport
P_145,T_10578,208.61355774403057,power_to_transport
P_147,T_14369,57.11905867667771,power_to_transport
P_32916,T_2858,151.74469547413105,power_to_transport
P_148,T_805,16.461681972146906,power_to_transport
P_32917,T_7662,210.20691912389583,power_to_transport
P_151,T_4459,159.5816582905889,power_to_transport
P_32920,T_4240,228.298381826533,power_to_transport
P_32919,T_7297,15.992299963354945,power_to_transport
P_32922,T_3108,135.63419288944593,power_to_transport
P_152,T_9633,28.921848055971108,power_to_transport
P_32924,T_18189,110.45548392243336,power_to_transport
P_157,T_5672,133.17242450297863,power_to_transport
P_32926,T_7049,153.368350444253,power_to_transport
P_159,T_8970,70.38950459869066,power_to_transport
P_160,T_16846,205.15418733469042,power_to_transport
P_161,T_3803,49.65755779683413,power_to_transport
P_162,T_4216,32.077196862967035,power_to_transport
P_163,T_15620,206.1359521722641,power_to_transport
P_32928,T_4190,13.855621058416707,power_to_transport
P_32933,T_12786,70.302688629981,power_to_transport
P_166,T_10855,233.40173383645845,power_to_transport
P_168,T_498,126.44565026069178,power_to_transport
P_32936,T_16892,241.14881163564263,power_to_transport
P_170,T_16790,274.7780959640203,power_to_transport
P_174,T_15495,83.0021077820089,power_to_transport
P_32943,T_12546,133.09449929987073,power_to_transport
P_176,T_9915,12.49164427906879,power_to_transport
P_32945,T_17045,85.82734188038415,power_to_transport
P_177,T_11107,133.3939568103006,power_to_transport
P_179,T_9922,79.9395845389101,power_to_transport
P_180,T_6720,145.7517419643578,power_to_transport
P_181,T_8602,17.76706410027461,power_to_transport
P_178,T_9813,12.339903043060819,power_to_transport
P_32952,T_8983,51.55531427569358,power_to_transport
P_186,T_17260,81.80654911407261,power_to_transport
P_188,T_4535,215.10119675165805,power_to_transport
P_189,T_1307,21.12377033725334,power_to_transport
P_32959,T_7598,423.1788088358832,power_to_transport
P_191,T_4501,20.369557735942262,power_to_transport
P_194,T_14040,64.9481984706588,power_to_transport
P_195,T_16389,15.956139559412104,power_to_transport
P_32964,T_3632,224.94909328740988,power_to_transport
P_196,T_9368,25.04104807104558,power_to_transport
P_198,T_7036,64.60045963569334,power_to_transport
P_32967,T_12714,37.485911648079785,power_to_transport
P_200,T_6947,176.37877486978485,power_to_transport
P_201,T_6947,11.61045327417706,power_to_transport
P_197,T_9368,43.237678810039704,power_to_transport
P_32974,T_12589,213.83812357254348,power_to_transport
P_32975,T_2630,90.70262273619146,power_to_transport
P_207,T_1356,18.62251735573612,power_to_transport
P_209,T_8174,28.911938108750153,power_to_transport
P_32976,T_14080,100.5015566398899,power_to_transport
P_211,T_2850,22.194949061286263,power_to_transport
P_212,T_9710,49.99672516986395,power_to_transport
P_32980,T_3549,66.79969281345127,power_to_transport
P_214,T_10707,50.87787202801532,power_to_transport
P_215,T_444,40.52079105996139,power_to_transport
P_32984,T_2022,120.6419933525285,power_to_transport
P_219,T_11154,41.85682095933636,power_to_transport
P_32989,T_13903,255.97564221170813,power_to_transport
P_222,T_5836,174.6126563783582,power_to_transport
P_223,T_5836,139.89008740471328,power_to_transport
P_224,T_11623,24.89923657288416,power_to_transport
P_32990,T_997,130.19944367097733,power_to_transport
P_221,T_11217,19.71837131007969,power_to_transport
P_32995,T_8929,27.11096408989467,power_to_transport
P_32996,T_1390,112.98855081910615,power_to_transport
P_229,T_5325,156.891740896814,power_to_transport
P_230,T_1621,21.97479526895184,power_to_transport
P_32999,T_12569,159.59131439756447,power_to_transport
P_32991,T_16478,157.01931081405047,power_to_transport
P_33001,T_1404,41.85056635270875,power_to_transport
P_234,T_16592,49.94980757455065,power_to_transport
P_235,T_5589,33.279027949587615,power_to_transport
P_236,T_855,166.96650546453458,power_to_transport
P_237,T_855,163.13855715918157,power_to_transport
P_32998,T_20058,187.44030808776927,power_to_transport
P_239,T_2317,226.60081042617233,power_to_transport
P_33008,T_17423,122.96595389768888,power_to_transport
P_241,T_15122,78.70013990082867,power_to_transport
P_48,T_3386,28.41463588936941,power_to_transport
P_33012,T_15706,163.25419429029577,power_to_transport
P_33013,T_6468,149.51648833261987,power_to_transport
P_246,T_8236,25.998782458204612,power_to_transport
P_247,T_13131,31.049096208097094,power_to_transport
P_248,T_13794,25.750194744345176,power_to_transport
P_33016,T_21095,156.36988995324137,power_to_transport
P_250,T_14752,120.75460621387703,power_to_transport
P_251,T_8472,36.16064665249179,power_to_transport
P_252,T_9252,36.52721295254309,power_to_transport
P_253,T_9252,31.99084856692215,power_to_transport
P_254,T_8232,300.32750992527514,power_to_transport
P_255,T_7855,18.966927144929034,power_to_transport
P_257,T_1781,31.656005213769287,power_to_transport
P_258,T_6405,114.63941481495037,power_to_transport
P_33027,T_8148,277.93408717880993,power_to_transport
P_262,T_6520,37.19830636059867,power_to_transport
P_33031,T_6248,123.72884425449462,power_to_transport
P_264,T_16642,139.27270328852802,power_to_transport
P_266,T_600,30.460646707897837,power_to_transport
P_33034,T_1413,371.3131854127456,power_to_transport
P_33036,T_18990,40.6423471117548,power_to_transport
P_33037,T_10566,147.76268292403833,power_to_transport
P_268,T_11431,16.916694490771906,power_to_transport
P_33039,T_6351,47.03270781999413,power_to_transport
P_273,T_18177,192.60011238211442,power_to_transport
P_274,T_9902,46.16934750799457,power_to_transport
P_275,T_7615,154.3450945312164,power_to_transport
P_276,T_1924,28.59150189448434,power_to_transport
