transport_node,power_node,transport_community,power_community,pair,multilayer_community_id
2,6496,28,31,"(28, 31)",164
3,1780,28,31,"(28, 31)",164
6,2872,28,105,"(28, 105)",169
7,21245,15,82,"(15, 82)",92
8,405,15,82,"(15, 82)",92
11,10536,33,81,"(33, 81)",188
12,18697,33,81,"(33, 81)",188
13,9773,23,78,"(23, 78)",133
14,35220,28,21,"(28, 21)",160
15,36064,28,21,"(28, 21)",160
16,28852,21,12,"(21, 12)",117
17,22683,21,83,"(21, 83)",124
18,8834,30,54,"(30, 54)",179
20,2976,11,23,"(11, 23)",73
21,14202,11,9,"(11, 9)",72
22,14674,4,45,"(4, 45)",44
23,27050,4,45,"(4, 45)",44
24,2104,3,70,"(3, 70)",33
25,511,3,96,"(3, 96)",38
26,72,20,14,"(20, 14)",113
27,10030,20,14,"(20, 14)",113
34,10189,5,45,"(5, 45)",52
35,3491,5,22,"(5, 22)",49
36,4301,33,81,"(33, 81)",188
37,12205,33,81,"(33, 81)",188
38,2903,30,54,"(30, 54)",179
39,17896,30,54,"(30, 54)",179
40,3926,40,23,"(40, 23)",227
41,13769,40,77,"(40, 77)",234
44,4834,15,16,"(15, 16)",87
45,5608,15,16,"(15, 16)",87
46,4433,24,90,"(24, 90)",142
47,374,24,13,"(24, 13)",135
48,8706,5,22,"(5, 22)",49
49,6776,5,22,"(5, 22)",49
50,18755,1,84,"(1, 84)",10
51,2454,1,84,"(1, 84)",10
52,10661,3,66,"(3, 66)",32
53,2766,3,5,"(3, 5)",23
54,30049,9,74,"(9, 74)",68
55,19843,9,72,"(9, 72)",67
56,19844,9,72,"(9, 72)",67
59,26564,54,46,"(54, 46)",285
60,26564,54,46,"(54, 46)",285
64,30246,9,92,"(9, 92)",69
69,11678,36,43,"(36, 43)",194
70,28903,36,85,"(36, 85)",199
73,27416,32,17,"(32, 17)",184
74,24684,32,17,"(32, 17)",184
75,23458,18,104,"(18, 104)",111
76,23458,18,104,"(18, 104)",111
77,4576,38,19,"(38, 19)",211
78,4012,38,19,"(38, 19)",211
79,8776,3,96,"(3, 96)",38
80,3360,3,96,"(3, 96)",38
82,15962,18,41,"(18, 41)",109
83,2308,29,95,"(29, 95)",176
84,20740,29,95,"(29, 95)",176
85,391,28,64,"(28, 64)",165
86,2032,28,64,"(28, 64)",165
87,3731,21,58,"(21, 58)",121
88,35352,21,58,"(21, 58)",121
91,15318,42,106,"(42, 106)",242
92,22074,42,106,"(42, 106)",242
93,8402,14,86,"(14, 86)",84
94,8438,14,86,"(14, 86)",84
98,3106,42,108,"(42, 108)",243
99,33321,42,106,"(42, 106)",242
100,34186,42,106,"(42, 106)",242
105,8203,11,88,"(11, 88)",77
106,15853,11,88,"(11, 88)",77
111,29957,39,103,"(39, 103)",223
112,29957,39,103,"(39, 103)",223
113,17252,40,51,"(40, 51)",230
114,988,40,51,"(40, 51)",230
115,33739,15,16,"(15, 16)",87
116,16115,15,16,"(15, 16)",87
117,9515,40,12,"(40, 12)",225
122,13731,37,94,"(37, 94)",207
123,23179,37,94,"(37, 94)",207
127,14438,37,50,"(37, 50)",202
128,7494,37,50,"(37, 50)",202
129,32537,54,46,"(54, 46)",285
132,35127,51,97,"(51, 97)",274
133,962,51,80,"(51, 80)",271
136,32851,18,104,"(18, 104)",111
139,1743,40,28,"(40, 28)",229
140,6692,40,7,"(40, 7)",224
141,35221,28,21,"(28, 21)",160
142,22832,28,3,"(28, 3)",157
143,595,30,91,"(30, 91)",182
144,30439,30,67,"(30, 67)",180
149,16403,16,71,"(16, 71)",98
150,15945,16,71,"(16, 71)",98
156,8509,42,109,"(42, 109)",244
157,8508,42,109,"(42, 109)",244
163,3738,3,47,"(3, 47)",30
164,13010,3,47,"(3, 47)",30
167,8174,23,78,"(23, 78)",133
168,4794,23,78,"(23, 78)",133
169,36313,2,93,"(2, 93)",21
170,2796,2,93,"(2, 93)",21
177,400,3,96,"(3, 96)",38
178,11208,3,70,"(3, 70)",33
179,10367,15,107,"(15, 107)",94
180,13608,15,107,"(15, 107)",94
181,34821,40,12,"(40, 12)",225
182,722,40,12,"(40, 12)",225
185,6730,21,83,"(21, 83)",124
186,25928,21,83,"(21, 83)",124
187,33378,16,38,"(16, 38)",96
188,33378,16,38,"(16, 38)",96
189,21900,52,42,"(52, 42)",281
190,20323,52,42,"(52, 42)",281
191,4475,37,113,"(37, 113)",209
192,9115,37,113,"(37, 113)",209
193,8148,3,96,"(3, 96)",38
194,6290,3,96,"(3, 96)",38
198,10760,36,35,"(36, 35)",193
199,17772,36,35,"(36, 35)",193
204,6667,2,18,"(2, 18)",13
205,6083,2,18,"(2, 18)",13
206,9368,15,16,"(15, 16)",87
207,16849,15,16,"(15, 16)",87
208,899,1,59,"(1, 59)",8
209,24456,1,59,"(1, 59)",8
210,25971,38,42,"(38, 42)",213
211,33653,38,19,"(38, 19)",211
