transport_node,power_node,transport_community,power_community,pair,multilayer_community_id
2,6496,31,68,"(31, 68)",168
3,1780,31,68,"(31, 68)",168
6,2872,31,77,"(31, 77)",169
7,21245,13,6,"(13, 6)",64
8,405,13,5,"(13, 5)",63
11,10536,30,50,"(30, 50)",155
12,18697,30,50,"(30, 50)",155
13,9773,58,120,"(58, 120)",306
14,35220,31,119,"(31, 119)",175
15,36064,31,119,"(31, 119)",175
16,28852,47,85,"(47, 85)",254
17,22683,47,92,"(47, 92)",256
18,8834,37,51,"(37, 51)",211
20,2976,51,42,"(51, 42)",277
21,14202,51,42,"(51, 42)",277
22,14674,42,63,"(42, 63)",232
23,27050,42,63,"(42, 63)",232
24,2104,7,113,"(7, 113)",53
25,511,7,107,"(7, 107)",50
26,72,28,109,"(28, 109)",146
27,10030,28,109,"(28, 109)",146
34,10189,13,63,"(13, 63)",69
35,3491,13,21,"(13, 21)",66
36,4301,30,50,"(30, 50)",155
37,12205,30,50,"(30, 50)",155
38,2903,37,51,"(37, 51)",211
39,17896,37,51,"(37, 51)",211
40,3926,47,3,"(47, 3)",247
41,13769,47,3,"(47, 3)",247
44,4834,25,14,"(25, 14)",130
45,5608,25,14,"(25, 14)",130
46,4433,15,80,"(15, 80)",76
47,374,15,80,"(15, 80)",76
48,8706,13,21,"(13, 21)",66
49,6776,13,21,"(13, 21)",66
50,18755,54,54,"(54, 54)",289
51,2454,54,54,"(54, 54)",289
52,10661,7,28,"(7, 28)",47
53,2766,7,111,"(7, 111)",52
54,30049,21,1,"(21, 1)",104
55,19843,21,118,"(21, 118)",110
56,19844,21,118,"(21, 118)",110
59,26564,43,99,"(43, 99)",237
60,26564,43,99,"(43, 99)",237
64,30246,21,25,"(21, 25)",107
69,11678,59,73,"(59, 73)",308
70,28903,59,97,"(59, 97)",309
73,27416,5,76,"(5, 76)",30
74,24684,5,76,"(5, 76)",30
75,23458,8,106,"(8, 106)",61
76,23458,8,106,"(8, 106)",61
77,4576,6,71,"(6, 71)",39
78,4012,6,71,"(6, 71)",39
79,8776,7,113,"(7, 113)",53
80,3360,7,113,"(7, 113)",53
82,15962,8,76,"(8, 76)",58
83,2308,32,22,"(32, 22)",177
84,20740,32,22,"(32, 22)",177
85,391,31,81,"(31, 81)",170
86,2032,31,81,"(31, 81)",170
87,3731,57,46,"(57, 46)",296
88,35352,57,46,"(57, 46)",296
91,15318,38,25,"(38, 25)",215
92,22074,38,25,"(38, 25)",215
93,8402,36,65,"(36, 65)",205
94,8438,36,65,"(36, 65)",205
98,3106,38,46,"(38, 46)",219
99,33321,38,25,"(38, 25)",215
100,34186,38,25,"(38, 25)",215
105,8203,51,88,"(51, 88)",283
106,15853,51,88,"(51, 88)",283
111,29957,16,58,"(16, 58)",82
112,29957,16,58,"(16, 58)",82
113,17252,49,57,"(49, 57)",267
114,988,49,57,"(49, 57)",267
115,33739,25,37,"(25, 37)",131
116,16115,25,37,"(25, 37)",131
117,9515,47,104,"(47, 104)",257
122,13731,33,100,"(33, 100)",196
123,23179,33,17,"(33, 17)",183
127,14438,33,18,"(33, 18)",184
128,7494,33,18,"(33, 18)",184
129,32537,43,99,"(43, 99)",237
132,35127,15,79,"(15, 79)",75
133,962,15,79,"(15, 79)",75
136,32851,8,106,"(8, 106)",61
139,1743,47,26,"(47, 26)",248
140,6692,47,30,"(47, 30)",249
141,35221,31,119,"(31, 119)",175
142,22832,31,91,"(31, 91)",172
143,595,37,51,"(37, 51)",211
144,30439,37,41,"(37, 41)",209
149,16403,40,39,"(40, 39)",224
150,15945,40,39,"(40, 39)",224
156,8509,38,78,"(38, 78)",221
157,8508,38,78,"(38, 78)",221
163,3738,7,28,"(7, 28)",47
164,13010,7,28,"(7, 28)",47
167,8174,58,120,"(58, 120)",306
168,4794,58,120,"(58, 120)",306
169,36313,22,114,"(22, 114)",119
170,2796,22,114,"(22, 114)",119
177,400,7,9,"(7, 9)",44
178,11208,7,107,"(7, 107)",50
179,10367,25,4,"(25, 4)",127
180,13608,25,4,"(25, 4)",127
181,34821,47,104,"(47, 104)",257
182,722,47,104,"(47, 104)",257
185,6730,46,92,"(46, 92)",245
186,25928,46,92,"(46, 92)",245
187,33378,40,39,"(40, 39)",224
188,33378,40,39,"(40, 39)",224
189,21900,18,101,"(18, 101)",98
190,20323,18,101,"(18, 101)",98
191,4475,33,96,"(33, 96)",195
192,9115,33,96,"(33, 96)",195
193,8148,7,107,"(7, 107)",50
194,6290,7,107,"(7, 107)",50
198,10760,0,60,"(0, 60)",2
199,17772,0,60,"(0, 60)",2
204,6667,29,35,"(29, 35)",150
205,6083,29,35,"(29, 35)",150
206,9368,25,37,"(25, 37)",131
207,16849,25,4,"(25, 4)",127
208,899,54,55,"(54, 55)",290
209,24456,54,55,"(54, 55)",290
210,25971,6,101,"(6, 101)",41
211,33653,6,20,"(6, 20)",31
212,6905,17,111,"(17, 111)",91
213,6905,17,111,"(17, 111)",91
215,12326,46,92,"(46, 92)",245
216,26481,46,92,"(46, 92)",245
217,2883,58,15,"(58, 15)",298
218,16322,58,15,"(58, 15)",298
219,10416,49,69,"(49, 69)",268
220,14508,49,69,"(49, 69)",268
221,1902,8,27,"(8, 27)",57
222,22226,8,27,"(8, 27)",57
225,1427,30,94,"(30, 94)",158
226,7543,30,94,"(30, 94)",158
227,9281,31,2,"(31, 2)",160
228,768,31,2,"(31, 2)",160
231,17822,54,55,"(54, 55)",290
232,16930,54,55,"(54, 55)",290
233,5463,33,118,"(33, 118)",197
234,29749,33,118,"(33, 118)",197
237,23471,7,113,"(7, 113)",53
238,5428,7,113,"(7, 113)",53
239,29200,22,45,"(22, 45)",114
240,34344,22,45,"(22, 45)",114
241,5364,13,6,"(13, 6)",64
242,925,13,6,"(13, 6)",64
243,7153,32,0,"(32, 0)",176
244,15867,32,0,"(32, 0)",176
245,14983,26,41,"(26, 41)",137
250,5991,31,81,"(31, 81)",170
251,3745,31,81,"(31, 81)",170
252,33738,15,79,"(15, 79)",75
253,26133,15,72,"(15, 72)",73
254,12368,16,31,"(16, 31)",80
255,10003,34,31,"(34, 31)",198
256,7035,47,3,"(47, 3)",247
257,13944,47,104,"(47, 104)",257
258,315,46,61,"(46, 61)",241
259,33968,46,61,"(46, 61)",241
264,23355,49,80,"(49, 80)",269
271,3422,36,65,"(36, 65)",205
272,1490,36,65,"(36, 65)",205
273,10655,26,41,"(26, 41)",137
274,19676,26,41,"(26, 41)",137
277,19178,0,12,"(0, 12)",0
278,22837,0,97,"(0, 97)",3
284,26114,40,39,"(40, 39)",224
285,27099,40,39,"(40, 39)",224
286,3065,49,55,"(49, 55)",265
287,497,49,55,"(49, 55)",265
290,1192,7,28,"(7, 28)",47
291,7815,7,39,"(7, 39)",48
294,35134,26,112,"(26, 112)",140
295,17986,26,112,"(26, 112)",140
298,36040,47,64,"(47, 64)",252
299,14370,47,42,"(47, 42)",250
306,33271,38,25,"(38, 25)",215
307,953,38,25,"(38, 25)",215
308,17878,31,77,"(31, 77)",169
309,7465,31,0,"(31, 0)",159
314,25988,6,71,"(6, 71)",39
315,20461,6,71,"(6, 71)",39
320,37018,31,119,"(31, 119)",175
321,35599,31,119,"(31, 119)",175
322,26098,25,7,"(25, 7)",129
323,4477,25,7,"(25, 7)",129
324,7567,47,104,"(47, 104)",257
327,31503,43,99,"(43, 99)",237
328,31230,43,99,"(43, 99)",237
329,9407,13,21,"(13, 21)",66
330,32770,13,21,"(13, 21)",66
331,9605,51,88,"(51, 88)",283
332,10205,28,72,"(28, 72)",145
