pair,frequency,support
"(4, 45)",207,0.016748927906788575
"(54, 46)",204,0.016506189821182942
"(38, 19)",201,0.016263451735577313
"(30, 54)",188,0.015211586697952908
"(15, 107)",171,0.013836070879520997
"(33, 81)",159,0.01286511853709847
"(1, 59)",156,0.012622380451492839
"(49, 89)",148,0.011975078889877823
"(52, 60)",141,0.011408690023464682
"(18, 104)",134,0.01084230115705154
"(49, 68)",132,0.010680475766647787
"(17, 52)",124,0.01003317420503277
"(43, 67)",123,0.009952261509830893
"(42, 106)",121,0.009790436119427138
"(18, 41)",119,0.009628610729023384
"(37, 50)",118,0.009547698033821507
"(15, 16)",117,0.009466785338619629
"(36, 61)",113,0.00914313455781212
"(29, 95)",113,0.00914313455781212
"(32, 17)",113,0.00914313455781212
"(48, 1)",110,0.008900396472206489
"(39, 103)",110,0.008900396472206489
"(2, 18)",109,0.008819483777004611
"(23, 40)",108,0.008738571081802735
"(43, 8)",108,0.008738571081802735
"(36, 43)",107,0.008657658386600858
"(40, 77)",103,0.008334007605793349
"(4, 4)",103,0.008334007605793349
"(3, 70)",102,0.008253094910591471
"(24, 13)",101,0.008172182215389595
"(21, 83)",101,0.008172182215389595
"(33, 48)",99,0.00801035682498584
"(14, 86)",97,0.007848531434582086
"(40, 12)",96,0.0077676187393802085
"(33, 15)",95,0.007686706044178332
"(5, 37)",94,0.007605793348976454
"(15, 100)",90,0.007282142568168946
"(9, 72)",90,0.007282142568168946
"(21, 58)",89,0.007201229872967068
"(28, 25)",88,0.007120317177765192
"(38, 101)",88,0.007120317177765192
"(28, 3)",88,0.007120317177765192
"(39, 98)",86,0.006958491787361437
"(20, 102)",86,0.006958491787361437
"(51, 97)",85,0.0068775790921595595
"(1, 84)",83,0.006715753701755806
"(5, 82)",83,0.006715753701755806
"(4, 11)",83,0.006715753701755806
"(42, 108)",82,0.006634841006553928
"(11, 9)",80,0.006473015616150174
"(3, 47)",79,0.006392102920948297
"(38, 33)",79,0.006392102920948297
"(26, 69)",79,0.006392102920948297
"(30, 91)",78,0.006311190225746419
"(27, 75)",78,0.006311190225746419
"(24, 90)",77,0.0062302775305445425
"(28, 31)",77,0.0062302775305445425
"(1, 96)",77,0.0062302775305445425
"(26, 88)",76,0.006149364835342665
"(37, 114)",75,0.006068452140140788
"(9, 74)",75,0.006068452140140788
"(5, 22)",75,0.006068452140140788
"(15, 82)",74,0.005987539444938911
"(40, 28)",74,0.005987539444938911
"(5, 45)",71,0.005744801359333279
"(42, 92)",71,0.005744801359333279
"(3, 96)",69,0.005582975968929525
"(28, 105)",69,0.005582975968929525
"(48, 10)",69,0.005582975968929525
"(52, 35)",69,0.005582975968929525
"(23, 78)",67,0.00542115057852577
"(36, 85)",66,0.0053402378833238935
