pair,frequency,support
"(37, 51)",184,0.014889140637643631
"(42, 62)",179,0.014484544424664186
"(18, 59)",170,0.013756271241301181
"(16, 58)",152,0.012299724874575174
"(40, 39)",148,0.011976047904191617
"(25, 4)",145,0.011733290176403949
"(8, 76)",140,0.011328693963424502
"(30, 50)",139,0.011247774720828612
"(6, 48)",135,0.010924097750445056
"(15, 40)",132,0.010681340022657387
"(43, 99)",132,0.010681340022657387
"(26, 112)",124,0.010033986081890274
"(54, 55)",124,0.010033986081890274
"(38, 25)",121,0.009791228354102606
"(6, 71)",120,0.009710309111506716
"(5, 76)",115,0.009305712898527269
"(30, 94)",113,0.00914387441333549
"(0, 12)",111,0.008982035928143712
"(38, 78)",111,0.008982035928143712
"(6, 105)",110,0.008901116685547824
"(36, 65)",109,0.008820197442951934
"(58, 15)",108,0.008739278200356044
"(29, 32)",108,0.008739278200356044
"(49, 80)",107,0.008658358957760156
"(51, 88)",106,0.008577439715164266
"(30, 29)",103,0.008334681987376599
"(7, 107)",103,0.008334681987376599
"(59, 97)",102,0.008253762744780709
"(34, 31)",102,0.008253762744780709
"(7, 113)",101,0.008172843502184819
"(6, 20)",99,0.00801100501699304
"(54, 49)",99,0.00801100501699304
"(32, 22)",95,0.007687328046609484
"(6, 94)",94,0.007606408804013595
"(46, 92)",93,0.0075254895614177055
"(26, 41)",93,0.0075254895614177055
"(18, 117)",93,0.0075254895614177055
"(47, 30)",92,0.0074445703188218155
"(8, 106)",92,0.0074445703188218155
"(24, 10)",88,0.007120893348438259
"(54, 83)",88,0.007120893348438259
"(46, 61)",86,0.00695905486324648
"(49, 69)",86,0.00695905486324648
"(13, 6)",85,0.0068781356206505904
"(25, 7)",85,0.0068781356206505904
"(37, 43)",84,0.006797216378054701
"(0, 60)",83,0.006716297135458812
"(3, 98)",83,0.006716297135458812
"(33, 18)",83,0.006716297135458812
"(0, 103)",82,0.006635377892862923
"(58, 120)",82,0.006635377892862923
"(38, 46)",81,0.006554458650267034
"(21, 118)",81,0.006554458650267034
"(43, 73)",81,0.006554458650267034
"(7, 28)",80,0.006473539407671145
