node_id,longitude,latitude
0,1272454.59576377,196821.621245593
1,1272445.65285176,196530.332157284
4,1281723.54604527,282410.519317225
9,1283765.82739136,171798.862563968
16,1278954.31929043,265172.014723584
17,1278959.35634644,265833.102980256
21,1283809.09996741,261058.46521537
23,1262421.63684151,243696.967469588
29,1255595.16950652,195880.616572618
45,1256994.74377994,256567.370490775
55,1270761.20017804,281362.060756162
57,1268277.31735949,172954.348773152
60,1292817.51437663,186607.558003128
65,1272454.03409977,177834.82391414
67,1290300.04762205,166861.452190906
69,1291331.86477511,180568.431340948
77,1287215.17222689,201158.116866022
78,1287404.61177908,201153.593538031
90,1266257.47658943,170710.072738856
93,1264664.81015579,281906.94485271
99,1273761.84018111,281094.578707889
107,1268687.03966393,176563.882920846
108,1268326.00491154,176567.896360844
112,1274103.81880547,210438.612683535
118,1270481.88644975,169648.417697757
136,1281508.38476504,224727.104474157
138,1255893.83229081,206275.863815263
143,1277243.86668068,218532.477459818
148,1249067.76489183,214423.403279617
152,1281077.1979486,181074.766573459
156,1275724.35563913,273498.561420113
157,1275724.35755913,273624.971596241
159,1278738.71116221,175783.79357604697
172,1256273.2337632,237345.089063078
179,1255407.24893032,258198.797372445
189,1284829.67468844,196327.831229076
195,1263902.16829902,275697.976974353
197,1283089.70342267,271810.450250372
198,1285276.7859849,187535.758260086
202,1258389.45718938,193259.14085793504
204,1272234.48792355,239077.257832855
205,1272900.20837224,240350.108970165
215,1280020.90937153,269028.75603953
217,1261753.95248882,264877.850627273
219,1275560.70565496,255996.255546182
233,1269274.20971252,278213.279312938
235,1272200.78821152,187765.71877232203
236,1272198.48241952,187517.871476054
238,1269597.61067285,256834.457595035
240,1269023.34968026,218229.76315550497
248,1263796.44413891,211697.102668822
249,1263551.36618666,211703.440908834
255,1276982.64344841,204269.200517222
260,1280402.94597992,283535.14005439
261,1280876.6225244,283430.795798272
262,1280412.64773993,286682.726297602
266,1284895.94387251,286266.618521184
267,1285245.02816087,286494.452057406
272,1264958.0536761,282131.535956949
273,1279899.67865141,219094.483860403
275,1282864.67039844,286924.984345853
277,1286694.78873836,184059.089008525
289,1254210.5092171,207972.267593011
