Node ID,Longitude,Latitude,Degree Centrality,Betweenness Centrality
2051.0,41,1,4.0,17673.12171996432
2053.0,41,3,4.0,35512.10976195015
2064.0,41,14,4.0,85742.802802871
2065.0,41,15,4.0,87766.83481341728
2103.0,42,3,4.0,33835.16803639824
2104.0,42,4,4.0,40791.62486526917
2111.0,42,11,4.0,71277.55075156457
2112.0,42,12,4.0,73801.15039583159
2114.0,42,14,4.0,77949.12994893393
2161.0,43,11,4.0,64177.11430802886
2162.0,43,12,4.0,66248.19246742889
2163.0,43,13,4.0,68056.12207519216
2164.0,43,14,4.0,69632.35705637149
2165.0,43,15,4.0,71002.79773990207
2212.0,44,12,4.0,58118.16306206926
2214.0,44,14,4.0,60788.16191291297
2215.0,44,15,4.0,61864.8854641052
2262.0,45,12,4.0,49393.24334848878
2264.0,45,14,4.0,51406.59972072512
2314.0,46,14,4.0,41466.874912987245
856.0,17,6,4.0,73207.23083979865
857.0,17,7,4.0,82357.55842775163
906.0,18,6,4.0,74072.54168356583
907.0,18,7,4.0,83427.98524550587
955.0,19,5,4.0,64833.30645221651
957.0,19,7,4.0,84323.67385626286
958.0,19,8,4.0,93413.4542825828
959.0,19,9,4.0,102057.63828983414
972.0,19,22,4.0,168213.21928300837
1004.0,20,4,4.0,54775.16538023138
1005.0,20,5,4.0,65293.86723681344
1006.0,20,6,4.0,75386.26364782912
1007.0,20,7,4.0,85055.28457858699
1008.0,20,8,4.0,94297.2710508958
1022.0,20,22,4.0,171493.17422086743
1023.0,20,23,4.0,172730.19257164496
1051.0,21,1,4.0,20465.802398153
1054.0,21,4,4.0,55044.24137798394
1056.0,21,6,4.0,75850.72106664053
1057.0,21,7,4.0,85631.20134771989
1059.0,21,9,4.0,103928.8887764591
1066.0,21,16,4.0,153313.9590790665
1067.0,21,17,4.0,158277.78720063792
1070.0,21,20,4.0,169641.92330725698
1071.0,21,21,4.0,172205.5412813472
1072.0,21,22,4.0,174137.66436743768
1073.0,21,23,4.0,175430.27219277582
1101.0,22,1,4.0,20504.7443470606
1102.0,22,2,4.0,32583.394907541693
1103.0,22,3,4.0,44140.02686294078
1105.0,22,5,4.0,65923.8403926633
1106.0,22,6,4.0,76194.61310855024
1109.0,22,9,4.0,104540.33886497008
1110.0,22,10,4.0,113139.16177236271
1115.0,22,15,4.0,149083.01985096806
1116.0,22,16,4.0,154728.7187776268
1117.0,22,17,4.0,159812.37158825752
1118.0,22,18,4.0,164313.65995552854
1119.0,22,19,4.0,168213.21928300807
1120.0,22,20,4.0,171493.17422086722
1121.0,22,21,4.0,174137.66436743826
1122.0,22,22,4.0,176133.33378706823
1123.0,22,23,4.0,177469.7584984244
1124.0,22,24,4.0,178139.788934109
1151.0,23,1,4.0,20530.265018001333
1153.0,23,3,4.0,44230.592211358
1156.0,23,6,4.0,76421.79836668816
1157.0,23,7,4.0,86339.73827013448
1158.0,23,8,4.0,95850.266436535
1160.0,23,10,4.0,113610.8291549715
1161.0,23,11,4.0,121834.23924582088
1162.0,23,12,4.0,129598.15121910644
1164.0,23,14,4.0,143672.0530664784
1165.0,23,15,4.0,149940.963552883
1166.0,23,16,4.0,155668.88584995546
1168.0,23,18,4.0,165412.70330645246
1171.0,23,21,4.0,175430.27219277588
1172.0,23,22,4.0,177469.7584984248
1173.0,23,23,4.0,178836.46702019626
1202.0,24,2,4.0,32665.822539473946
1203.0,24,3,4.0,44275.57755778345
1204.0,24,4,4.0,55439.74660192059
1205.0,24,5,4.0,66188.72154629555
1206.0,24,6,4.0,76534.776674664
1207.0,24,7,4.0,86479.96427390097
1209.0,24,9,4.0,105145.7977452622
1210.0,24,10,4.0,113845.5517302974
1212.0,24,12,4.0,129905.71822301218
1217.0,24,17,4.0,161343.49545528315
1218.0,24,18,4.0,165962.04604851553
1223.0,24,23,4.0,179521.97396376068
1224.0,24,24,4.0,180215.3972749748
1228.0,24,28,4.0,176077.94253879305
1229.0,24,29,4.0,173349.55001371843
1252.0,25,2,4.0,32665.82253947391
1253.0,25,3,4.0,44275.57755778352
1254.0,25,4,4.0,55439.74660192059
1255.0,25,5,4.0,66188.72154629552
1256.0,25,6,4.0,76534.77667466429
1257.0,25,7,4.0,86479.96427390077
1259.0,25,9,4.0,105145.79774526204
1260.0,25,10,4.0,113845.55173029762
1261.0,25,11,4.0,122104.47633876764
1263.0,25,13,4.0,137230.5790980514
1264.0,25,14,4.0,144058.78764742243
1265.0,25,15,4.0,150368.78137997858
1266.0,25,16,4.0,156138.03945870744
1267.0,25,17,4.0,161343.49545528367
1274.0,25,24,4.0,180215.3972749744
1275.0,25,25,4.0,180215.3972749742
1276.0,25,26,4.0,179521.9739637603
1278.0,25,28,4.0,176077.9425387929
1302.0,26,2,4.0,32638.486238082714
1303.0,26,3,4.0,44230.59221135793
1305.0,26,5,4.0,66100.76125266352
1310.0,26,10,4.0,113610.82915497157
1311.0,26,11,4.0,121834.23924582108
1312.0,26,12,4.0,129598.15121910664
1313.0,26,13,4.0,136884.07583283226
1317.0,26,17,4.0,160833.52230447973
1324.0,26,24,4.0,179521.9739637606
1326.0,26,26,4.0,178836.46702019608
1327.0,26,27,4.0,177469.7584984246
1328.0,26,28,4.0,175430.27219277612
1329.0,26,29,4.0,172730.19257164493
1352.0,27,2,4.0,32583.394907541668
1353.0,27,3,4.0,44140.02686294083
1355.0,27,5,4.0,65923.84039266335
1356.0,27,6,4.0,76194.6131085505
