Source,Target,Weight
12800.0,9080.0,1.0
12800.0,19318.0,1.0
5129.0,1649.0,1.0
5129.0,10657.0,1.0
12810.0,1796.0,1.0
12810.0,5448.0,1.0
12810.0,10522.0,1.0
6157.0,3438.0,1.0
6157.0,9817.0,1.0
6157.0,12216.0,1.0
14352.0,2198.0,1.0
14352.0,5446.0,1.0
14352.0,10836.0,1.0
14352.0,13883.0,1.0
19994.0,19809.0,1.0
26.0,27.0,1.0
26.0,9883.0,1.0
26.0,10523.0,1.0
27.0,12661.0,1.0
27.0,11668.0,1.0
15389.0,1650.0,1.0
15389.0,4294.0,1.0
15389.0,11873.0,1.0
15389.0,11874.0,1.0
6694.0,2197.0,1.0
6694.0,3439.0,1.0
6694.0,9817.0,1.0
17958.0,2634.0,1.0
17958.0,6258.0,1.0
17958.0,14793.0,1.0
5674.0,5675.0,1.0
5674.0,10625.0,1.0
5674.0,18818.0,1.0
5674.0,16876.0,1.0
5675.0,12244.0,1.0
5675.0,16876.0,1.0
5675.0,21081.0,1.0
6200.0,6201.0,1.0
6200.0,21132.0,1.0
6200.0,21136.0,1.0
13370.0,9131.0,1.0
13370.0,13371.0,1.0
13370.0,18257.0,1.0
13883.0,4829.0,1.0
13883.0,9817.0,1.0
13883.0,10836.0,1.0
13371.0,9132.0,1.0
13371.0,18006.0,1.0
9279.0,6036.0,1.0
9279.0,8806.0,1.0
9279.0,12223.0,1.0
9279.0,10522.0,1.0
2629.0,1861.0,1.0
2629.0,9173.0,1.0
2629.0,19809.0,1.0
2629.0,11075.0,1.0
2633.0,2634.0,1.0
2633.0,12404.0,1.0
2633.0,6257.0,1.0
2634.0,4874.0,1.0
18002.0,1424.0,1.0
18002.0,12938.0,1.0
10836.0,10837.0,1.0
10836.0,14313.0,1.0
18006.0,5728.0,1.0
18006.0,20079.0,1.0
9817.0,1797.0,1.0
5728.0,1649.0,1.0
5728.0,5729.0,1.0
5728.0,20077.0,1.0
11873.0,11874.0,1.0
11873.0,18257.0,1.0
11873.0,22910.0,1.0
11874.0,1649.0,1.0
11874.0,20079.0,1.0
5729.0,9132.0,1.0
8806.0,6036.0,1.0
8806.0,12398.0,1.0
8806.0,16876.0,1.0
20075.0,12587.0,1.0
20077.0,10657.0,1.0
12398.0,12223.0,1.0
12398.0,12244.0,1.0
12398.0,16876.0,1.0
