Source,Target,Weight
387.0,388.0,1.0
387.0,4459.0,1.0
387.0,14450.0,1.0
388.0,6583.0,1.0
388.0,14916.0,1.0
388.0,7582.0,1.0
1415.0,1416.0,1.0
1415.0,14929.0,1.0
1415.0,13780.0,1.0
1416.0,13781.0,1.0
14857.0,3620.0,1.0
14857.0,14929.0,1.0
14857.0,15336.0,1.0
12042.0,8824.0,1.0
12042.0,15033.0,1.0
12042.0,14929.0,1.0
14474.0,10639.0,1.0
14474.0,12112.0,1.0
8206.0,180.0,1.0
8206.0,9405.0,1.0
10639.0,1113.0,1.0
10639.0,3118.0,1.0
10639.0,4459.0,1.0
5135.0,1116.0,1.0
5135.0,14450.0,1.0
5135.0,15846.0,1.0
22160.0,17733.0,1.0
16918.0,16919.0,1.0
16919.0,9030.0,1.0
11030.0,15263.0,1.0
4375.0,1115.0,1.0
923.0,5917.0,1.0
923.0,10551.0,1.0
5916.0,5917.0,1.0
5916.0,13290.0,1.0
5917.0,3118.0,1.0
5917.0,12586.0,1.0
7582.0,1654.0,1.0
7582.0,15336.0,1.0
15263.0,5468.0,1.0
11426.0,1113.0,1.0
11426.0,17607.0,1.0
3620.0,2652.0,1.0
12586.0,12112.0,1.0
13870.0,6583.0,1.0
3118.0,12112.0,1.0
179.0,180.0,1.0
10932.0,8824.0,1.0
10932.0,10933.0,1.0
13110.0,1654.0,1.0
9404.0,9405.0,1.0
9404.0,15202.0,1.0
9405.0,2652.0,1.0
9405.0,13250.0,1.0
19137.0,5468.0,1.0
19137.0,20730.0,1.0
14916.0,1116.0,1.0
14916.0,14450.0,1.0
8772.0,15846.0,1.0
9030.0,5999.0,1.0
17607.0,17733.0,1.0
13780.0,13781.0,1.0
15064.0,1115.0,1.0
15064.0,5469.0,1.0
15064.0,15846.0,1.0
1115.0,1116.0,1.0
5469.0,5468.0,1.0
15202.0,8822.0,1.0
5999.0,8822.0,1.0
