Node ID,Betweenness Centrality,Longitude,Latitude
16756,222934938.1163294,1273446.17182879,242840.059052706
17072,213137666.47958365,1272295.32376361,233460.752995104
16777,191401629.10613778,1271710.75768301,230180.395743743
18629,188632140.9894283,1273636.61144499,246714.36792068198
16818,187682688.84178343,1271699.98309101,229532.444959089
16817,185521286.92798853,1271412.28843471,224797.240794241
17043,180554488.39220366,1271917.62731522,223858.96188128003
16752,166162670.0559229,1274038.1873814,251126.435893193
17035,154953354.66355932,1273526.37349288,217714.443282977
21277,153528848.9738099,1271973.79358728,258235.828156471
