Node ID,Degree Centrality,Longitude,Latitude
6501,8.0,1271166.67902645,240877.595498696
2055,7.0,1267665.62078287,245187.42641511603
2513,7.0,1263079.9179941698,212184.875277326
3809,7.0,1266982.13521418,241771.47261962297
9320,7.0,1266668.93866985,238218.81373597702
13725,7.0,1270194.9277294597,198446.50086325404
17860,7.0,1265570.23844473,212268.68814140602
19505,7.0,1269793.3389290597,221193.78050254303
20684,7.0,1270306.7401455801,231478.61328107098
21897,7.0,1253090.62396795,249163.96504318697
