Node ID,Longitude,Latitude,Degree Centrality,Betweenness Centrality
0,1272454.59576377,196821.621245593,4.0,85175.46119281035
1,1272445.65285176,196530.332157284,4.0,199544.0086351449
2,1272798.19742812,229164.418078706,3.0,3576287.5656330814
3,1272804.96216413,229595.832927153,4.0,160042.88553980837
4,1281723.54604527,282410.519317225,3.0,98436.16854558798
6,1276763.26495218,227488.916188985,2.0,3987.490970428092
7,1276842.76677626,227487.097628996,3.0,24321.91066276441
8,1258877.97200587,249895.359603941,4.0,1143010.1812830314
9,1258234.31478922,249910.516403958,4.0,1336054.298837077
10,1283765.82739136,171798.862563968,4.0,139761.99999999997
12,1280270.93772379,213065.492622226,4.0,3230881.9586759456
13,1280456.64569198,212688.49274984,3.0,79783.21406222953
14,1267298.5883345,267152.063941613,3.0,55014.94922713054
15,1267301.81995051,267450.213573918,2.0,2.0
16,1271933.94097924,224815.773914248,4.0,91197.60392843398
17,1271778.12037109,225078.95580253,4.0,392197.48286086565
18,1281468.16300501,191505.659128144,2.0,23289.33333333333
19,1281457.829053,191209.123255834,2.0,4.666666666666667
20,1278954.31929043,265172.014723584,3.0,474366.0122254045
21,1278959.35634644,265833.102980256,5.0,660901.8259400895
22,1277381.21746482,215035.505424246,4.0,88982.03006967052
23,1277630.20780107,215030.022160232,3.0,202496.55968364756
25,1283809.09996741,261058.46521537,4.0,86323.37524847813
26,1262965.77060206,243687.401837572,3.0,119104.13449025352
27,1262421.63684151,243696.967469588,3.0,79949.23567055643
28,1267581.43787079,255034.246649206,4.0,415787.4563262807
29,1267586.72785479,255298.186041474,4.0,1764756.4202381023
30,1284988.93945661,243227.259757102,3.0,108273.21969709118
31,1285233.68665686,243221.913645104,3.0,31140.02687594247
32,1255456.75408237,196154.808572903,3.0,572874.4685965636
33,1255595.16950652,195880.616572618,3.0,545468.8062737259
34,1263108.5517862,234405.380708069,3.0,124604.97100686008
35,1262935.07281002,234409.333796084,3.0,120262.17216952635
36,1255545.10429046,216954.681042209,3.0,54551.34557626184
37,1255265.38704218,216967.281426221,3.0,14054.8218012977
38,1258800.58698179,246142.062000096,4.0,1105030.0577848677
39,1258809.9760378,246596.084016562,4.0,655686.87159337
40,1279401.98706689,212638.938061789,4.0,2058497.0851546929
41,1279694.18789919,212782.37543793,4.0,3118342.259377093
42,1274815.57855019,214267.166415453,4.0,571256.0807636314
43,1275137.33906253,214259.534863442,4.0,651031.1906236964
44,1278606.39973807,260543.99148684705,3.0,44372.915141669706
45,1278505.30936997,261207.579775527,3.0,22702.85180208381
46,1263738.66269885,193118.371449798,4.0,505361.4386477829
47,1263720.30877884,192449.732985109,4.0,170606.11145342552
48,1256988.76483594,256314.264378503,3.0,217530.6163532168
49,1256994.74377994,256567.370490775,3.0,145689.57271484096
50,1279509.896635,249937.870963976,4.0,202479.19584331068
51,1279510.548475,250601.042228654,4.0,328987.92636855465
52,1259622.40195863,247186.093681157,3.0,33978.672119736606
53,1259624.42359065,247281.280817255,3.0,14217.52734937179
54,1270588.07550587,248855.032242864,4.0,122068.57271402609
55,1270458.83204973,249104.497331128,4.0,174680.01199499975
56,1263328.80791444,257652.461179882,4.0,95767.91943573988
57,1263339.08772244,258310.205628559,4.0,244668.08011459772
59,1269931.3242092,286352.081305265,2.0,46592.0
60,1270761.20017804,281362.060756162,3.0,69121.90638220713
61,1271109.72933041,281358.539796159,3.0,192616.2383491279
62,1268277.31735949,172954.348773152,4.0,92788.03255512747
63,1267949.29604717,172956.300197154,4.0,35740.4788718276
64,1293112.80640893,186888.097779423,4.0,1712.321803817319
65,1292817.51437663,186607.558003128,4.0,80056.56944374085
66,1261062.79863212,189161.988277748,4.0,2440176.05841248
67,1261055.6402321,188817.666101396,3.0,289102.1040629695
68,1272464.65771578,287260.426586196,3.0,12046060.229331812
69,1273788.08651714,287213.48905015,3.0,15300210.241105177
70,1272454.03409977,177834.82391414,3.0,654191.3971617013
72,1290300.04762205,166861.452190906,4.0,93182.0
74,1291331.86477511,180568.431340948,3.0,408016.1872510464
76,1282213.24518177,271972.505034536,3.0,356548.05826007907
77,1282284.28767784,272235.421834812,3.0,214619.66264203508
78,1282715.23859029,233091.293474734,4.0,68545.07404091679
79,1282726.5535343,233531.437603176,4.0,1043098.2771610144
80,1281281.27494082,226056.509979531,4.0,219581.59779765215
81,1281551.9082851,226047.25077951,4.0,119198.69440929564
82,1287215.17222689,201158.116866022,3.0,336319.4708883983
83,1287404.61177908,201153.593538031,3.0,243233.80422172404
84,1270277.30814555,258143.212860376,4.0,555442.6920230868
85,1270642.56068993,258133.419196367,3.0,613165.5041375654
86,1280294.88581981,228275.444509804,4.0,215339.6629849445
87,1280580.68646009,228267.878237784,4.0,306460.1523743675
88,1278378.23845784,237799.906727552,5.0,605694.2945020795
89,1278804.12933828,237789.334567547,3.0,70946.68221757638
90,1272824.73246816,230863.305760443,4.0,283447.20437929104
91,1273064.5368204,230856.854368433,4.0,313728.61815077777
92,1281381.10514891,275680.326734334,4.0,190200.80553769536
93,1281742.18412529,275669.226702332,3.0,60679.98714424131
94,1266283.53726146,171371.195427522,4.0,635871.6446231885
95,1266257.47658943,170710.072738856,4.0,146365.38960695022
96,1275345.34392674,282544.803797364,3.0,156832.50859001893
97,1275752.38968715,282779.186837614,3.0,109095.83110725108
98,1264664.81015579,281906.94485271,3.0,419461.8064955336
99,1264668.0404918,282139.998484954,4.0,888405.3040203362
100,1264664.87082779,190436.459447056,4.0,661934.7945172702
101,1264659.03127579,189769.788918361,4.0,556282.3830932447
102,1277398.53695284,278181.299088895,4.0,361163.0799215337
103,1278429.63762589,278182.661904901,4.0,249847.48434836487
104,1273761.84018111,281094.578707889,3.0,157865.6007446984
106,1266971.44593416,229144.100254685,3.0,101445.77177139436
107,1267074.50084627,229257.475998804,3.0,623.7343563863412
108,1263215.73661831,233093.017890736,4.0,655722.9967232975
