Node ID,Attributes
0.0,"{'Longitude': 1272454.59576377, 'Latitude': 196821.621245593, 'Degree Centrality': 4.0, 'Betweenness Centrality': 85175.46119280966}"
1.0,"{'Longitude': 1272445.65285176, 'Latitude': 196530.332157284, 'Degree Centrality': 4.0, 'Betweenness Centrality': 199544.00863514483}"
2.0,"{'Longitude': 1272798.19742812, 'Latitude': 229164.418078706, 'Degree Centrality': 3.0, 'Betweenness Centrality': 3576287.565633075}"
3.0,"{'Longitude': 1272804.96216413, 'Latitude': 229595.832927153, 'Degree Centrality': 4.0, 'Betweenness Centrality': 160042.88553980997}"
4.0,"{'Longitude': 1281723.54604527, 'Latitude': 282410.519317225, 'Degree Centrality': 3.0, 'Betweenness Centrality': 98436.16854558817}"
5.0,"{'Longitude': 1281884.72486143, 'Latitude': 282430.77122125, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
6.0,"{'Longitude': 1276763.26495218, 'Latitude': 227488.916188985, 'Degree Centrality': 2.0, 'Betweenness Centrality': 3987.4909704280894}"
7.0,"{'Longitude': 1276842.76677626, 'Latitude': 227487.097628996, 'Degree Centrality': 3.0, 'Betweenness Centrality': 24321.91066276449}"
8.0,"{'Longitude': 1258877.97200587, 'Latitude': 249895.359603941, 'Degree Centrality': 4.0, 'Betweenness Centrality': 1143010.181283029}"
9.0,"{'Longitude': 1258234.31478922, 'Latitude': 249910.516403958, 'Degree Centrality': 4.0, 'Betweenness Centrality': 1336054.298837081}"
10.0,"{'Longitude': 1283765.82739136, 'Latitude': 171798.862563968, 'Degree Centrality': 4.0, 'Betweenness Centrality': 139761.99999999997}"
11.0,"{'Longitude': 1284031.00665563, 'Latitude': 171794.603363961, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
12.0,"{'Longitude': 1280270.93772379, 'Latitude': 213065.492622226, 'Degree Centrality': 4.0, 'Betweenness Centrality': 3230881.958675951}"
13.0,"{'Longitude': 1280456.64569198, 'Latitude': 212688.49274984, 'Degree Centrality': 3.0, 'Betweenness Centrality': 79783.2140622271}"
14.0,"{'Longitude': 1267298.5883345, 'Latitude': 267152.063941613, 'Degree Centrality': 3.0, 'Betweenness Centrality': 55014.94922713098}"
15.0,"{'Longitude': 1267301.81995051, 'Latitude': 267450.213573918, 'Degree Centrality': 2.0, 'Betweenness Centrality': 2.0}"
16.0,"{'Longitude': 1271933.94097924, 'Latitude': 224815.773914248, 'Degree Centrality': 4.0, 'Betweenness Centrality': 91197.60392843305}"
17.0,"{'Longitude': 1271778.12037109, 'Latitude': 225078.95580253, 'Degree Centrality': 4.0, 'Betweenness Centrality': 392197.4828608651}"
18.0,"{'Longitude': 1281468.16300501, 'Latitude': 191505.659128144, 'Degree Centrality': 2.0, 'Betweenness Centrality': 23289.33333333333}"
19.0,"{'Longitude': 1281457.829053, 'Latitude': 191209.123255834, 'Degree Centrality': 2.0, 'Betweenness Centrality': 4.666666666666667}"
20.0,"{'Longitude': 1278954.31929043, 'Latitude': 265172.014723584, 'Degree Centrality': 3.0, 'Betweenness Centrality': 474366.0122254047}"
21.0,"{'Longitude': 1278959.35634644, 'Latitude': 265833.102980256, 'Degree Centrality': 5.0, 'Betweenness Centrality': 660901.825940094}"
22.0,"{'Longitude': 1277381.21746482, 'Latitude': 215035.505424246, 'Degree Centrality': 4.0, 'Betweenness Centrality': 88982.03006967071}"
23.0,"{'Longitude': 1277630.20780107, 'Latitude': 215030.022160232, 'Degree Centrality': 3.0, 'Betweenness Centrality': 202496.5596836475}"
24.0,"{'Longitude': 1283574.34284717, 'Latitude': 261045.015423357, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
25.0,"{'Longitude': 1283809.09996741, 'Latitude': 261058.46521537, 'Degree Centrality': 4.0, 'Betweenness Centrality': 86323.37524847801}"
26.0,"{'Longitude': 1262965.77060206, 'Latitude': 243687.401837572, 'Degree Centrality': 3.0, 'Betweenness Centrality': 119104.13449025352}"
27.0,"{'Longitude': 1262421.63684151, 'Latitude': 243696.967469588, 'Degree Centrality': 3.0, 'Betweenness Centrality': 79949.23567055647}"
28.0,"{'Longitude': 1267581.43787079, 'Latitude': 255034.246649206, 'Degree Centrality': 4.0, 'Betweenness Centrality': 415787.4563262813}"
29.0,"{'Longitude': 1267586.72785479, 'Latitude': 255298.186041474, 'Degree Centrality': 4.0, 'Betweenness Centrality': 1764756.4202381035}"
30.0,"{'Longitude': 1284988.93945661, 'Latitude': 243227.259757102, 'Degree Centrality': 3.0, 'Betweenness Centrality': 108273.219697094}"
31.0,"{'Longitude': 1285233.68665686, 'Latitude': 243221.913645104, 'Degree Centrality': 3.0, 'Betweenness Centrality': 31140.02687594196}"
32.0,"{'Longitude': 1255456.75408237, 'Latitude': 196154.808572903, 'Degree Centrality': 3.0, 'Betweenness Centrality': 572874.4685965647}"
33.0,"{'Longitude': 1255595.16950652, 'Latitude': 195880.616572618, 'Degree Centrality': 3.0, 'Betweenness Centrality': 545468.8062737229}"
34.0,"{'Longitude': 1263108.5517862, 'Latitude': 234405.380708069, 'Degree Centrality': 3.0, 'Betweenness Centrality': 124604.97100685994}"
35.0,"{'Longitude': 1262935.07281002, 'Latitude': 234409.333796084, 'Degree Centrality': 3.0, 'Betweenness Centrality': 120262.17216952624}"
36.0,"{'Longitude': 1255545.10429046, 'Latitude': 216954.681042209, 'Degree Centrality': 3.0, 'Betweenness Centrality': 54551.345576261854}"
37.0,"{'Longitude': 1255265.38704218, 'Latitude': 216967.281426221, 'Degree Centrality': 3.0, 'Betweenness Centrality': 14054.821801297678}"
38.0,"{'Longitude': 1258800.58698179, 'Latitude': 246142.062000096, 'Degree Centrality': 4.0, 'Betweenness Centrality': 1105030.0577848689}"
39.0,"{'Longitude': 1258809.9760378, 'Latitude': 246596.084016562, 'Degree Centrality': 4.0, 'Betweenness Centrality': 655686.8715933757}"
40.0,"{'Longitude': 1279401.98706689, 'Latitude': 212638.938061789, 'Degree Centrality': 4.0, 'Betweenness Centrality': 2058497.0851547064}"
41.0,"{'Longitude': 1279694.18789919, 'Latitude': 212782.37543793, 'Degree Centrality': 4.0, 'Betweenness Centrality': 3118342.259377101}"
42.0,"{'Longitude': 1274815.57855019, 'Latitude': 214267.166415453, 'Degree Centrality': 4.0, 'Betweenness Centrality': 571256.0807636305}"
43.0,"{'Longitude': 1275137.33906253, 'Latitude': 214259.534863442, 'Degree Centrality': 4.0, 'Betweenness Centrality': 651031.1906236979}"
44.0,"{'Longitude': 1278606.39973807, 'Latitude': 260543.99148684705, 'Degree Centrality': 3.0, 'Betweenness Centrality': 44372.91514166971}"
45.0,"{'Longitude': 1278505.30936997, 'Latitude': 261207.579775527, 'Degree Centrality': 3.0, 'Betweenness Centrality': 22702.85180208389}"
46.0,"{'Longitude': 1263738.66269885, 'Latitude': 193118.371449798, 'Degree Centrality': 4.0, 'Betweenness Centrality': 505361.438647783}"
47.0,"{'Longitude': 1263720.30877884, 'Latitude': 192449.732985109, 'Degree Centrality': 4.0, 'Betweenness Centrality': 170606.11145342578}"
48.0,"{'Longitude': 1256988.76483594, 'Latitude': 256314.264378503, 'Degree Centrality': 3.0, 'Betweenness Centrality': 217530.6163532169}"
49.0,"{'Longitude': 1256994.74377994, 'Latitude': 256567.370490775, 'Degree Centrality': 3.0, 'Betweenness Centrality': 145689.57271484094}"
50.0,"{'Longitude': 1279509.896635, 'Latitude': 249937.870963976, 'Degree Centrality': 4.0, 'Betweenness Centrality': 202479.19584331044}"
51.0,"{'Longitude': 1279510.548475, 'Latitude': 250601.042228654, 'Degree Centrality': 4.0, 'Betweenness Centrality': 328987.92636855296}"
52.0,"{'Longitude': 1259622.40195863, 'Latitude': 247186.093681157, 'Degree Centrality': 3.0, 'Betweenness Centrality': 33978.672119736635}"
53.0,"{'Longitude': 1259624.42359065, 'Latitude': 247281.280817255, 'Degree Centrality': 3.0, 'Betweenness Centrality': 14217.527349371798}"
54.0,"{'Longitude': 1270588.07550587, 'Latitude': 248855.032242864, 'Degree Centrality': 4.0, 'Betweenness Centrality': 122068.57271402616}"
55.0,"{'Longitude': 1270458.83204973, 'Latitude': 249104.497331128, 'Degree Centrality': 4.0, 'Betweenness Centrality': 174680.0119949998}"
56.0,"{'Longitude': 1263328.80791444, 'Latitude': 257652.461179882, 'Degree Centrality': 4.0, 'Betweenness Centrality': 95767.91943573928}"
57.0,"{'Longitude': 1263339.08772244, 'Latitude': 258310.205628559, 'Degree Centrality': 4.0, 'Betweenness Centrality': 244668.0801145985}"
58.0,"{'Longitude': 1269852.56356911, 'Latitude': 286351.478297263, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
59.0,"{'Longitude': 1269931.3242092, 'Latitude': 286352.081305265, 'Degree Centrality': 2.0, 'Betweenness Centrality': 46592.0}"
60.0,"{'Longitude': 1270761.20017804, 'Latitude': 281362.060756162, 'Degree Centrality': 3.0, 'Betweenness Centrality': 69121.90638220715}"
61.0,"{'Longitude': 1271109.72933041, 'Latitude': 281358.539796159, 'Degree Centrality': 3.0, 'Betweenness Centrality': 192616.23834912796}"
62.0,"{'Longitude': 1268277.31735949, 'Latitude': 172954.348773152, 'Degree Centrality': 4.0, 'Betweenness Centrality': 92788.03255512747}"
63.0,"{'Longitude': 1267949.29604717, 'Latitude': 172956.300197154, 'Degree Centrality': 4.0, 'Betweenness Centrality': 35740.47887182776}"
64.0,"{'Longitude': 1293112.80640893, 'Latitude': 186888.097779423, 'Degree Centrality': 4.0, 'Betweenness Centrality': 1712.3218038173186}"
65.0,"{'Longitude': 1292817.51437663, 'Latitude': 186607.558003128, 'Degree Centrality': 4.0, 'Betweenness Centrality': 80056.56944374125}"
66.0,"{'Longitude': 1261062.79863212, 'Latitude': 189161.988277748, 'Degree Centrality': 4.0, 'Betweenness Centrality': 2440176.0584124657}"
67.0,"{'Longitude': 1261055.6402321, 'Latitude': 188817.666101396, 'Degree Centrality': 3.0, 'Betweenness Centrality': 289102.1040629696}"
68.0,"{'Longitude': 1272464.65771578, 'Latitude': 287260.426586196, 'Degree Centrality': 3.0, 'Betweenness Centrality': 12046060.2293319}"
69.0,"{'Longitude': 1273788.08651714, 'Latitude': 287213.48905015, 'Degree Centrality': 3.0, 'Betweenness Centrality': 15300210.24110526}"
70.0,"{'Longitude': 1272454.03409977, 'Latitude': 177834.82391414, 'Degree Centrality': 3.0, 'Betweenness Centrality': 654191.3971617017}"
71.0,"{'Longitude': 1272444.24568376, 'Latitude': 177462.902761772, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
72.0,"{'Longitude': 1290300.04762205, 'Latitude': 166861.452190906, 'Degree Centrality': 4.0, 'Betweenness Centrality': 93182.0}"
73.0,"{'Longitude': 1290264.08378202, 'Latitude': 166241.259486273, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
74.0,"{'Longitude': 1291331.86477511, 'Latitude': 180568.431340948, 'Degree Centrality': 3.0, 'Betweenness Centrality': 408016.1872510465}"
75.0,"{'Longitude': 1291975.29197577, 'Latitude': 180633.424301013, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
